file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/victorfrancorezende/./Aardvark/vedit/src/gw/vark/editor/VEdit.java,gw.vark.editor.VEdit$Anonymous2$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,-1,0
/Users/victorfrancorezende/./Aardvark/vedit/src/gw/vark/editor/TargetPopup.java,gw.vark.editor.TargetPopup$Anonymous3$Anonymous4$Anonymous5,anonymous,0,0,0,0,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-1,0
/Users/victorfrancorezende/./Aardvark/aardvark/src/gw/vark/GosuProgramWrapper.java,gw.vark.GosuProgramWrapper,class,3,8,5,3,6,1,0,2,2,0.6,0.4,0.6,5,0,1,0,0,4,5,0,0,0,3,0,0,3,0,0,1,0,0,23,3,0,1,0,0,0,0,3,0,3,1,0,0,0,16,1,0
/Users/victorfrancorezende/./Aardvark/aardvark/test/gw/vark/testapi/InMemoryLoggerAssert.java,gw.vark.testapi.InMemoryLoggerAssert,class,4,7,3,4,10,2,0,7,4,0.4,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,32,2,2,2,0,0,2,1,3,2,3,2,0,0,0,32,1,0
/Users/victorfrancorezende/./Aardvark/aardvark/test/gw/vark/TestprojectTest.java,gw.vark.TestprojectTest,class,14,16,2,14,38,3,0,20,463,0.9354839,0.0,0.0,31,1,30,1,0,0,30,0,0,0,2,2,0,2,0,0,0,0,155,167,1,0,0,6,1,210,0,29,6,29,1,0,0,0,119,1,0
/Users/victorfrancorezende/./Aardvark/aardvark/src/gw/vark/shell/InteractiveShell.java,gw.vark.shell.InteractiveShell$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/victorfrancorezende/./Aardvark/vedit/src/gw/vark/editor/TargetPopup.java,gw.vark.editor.TargetPopup$Anonymous3$Anonymous4,anonymous,1,1,0,1,6,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,0,1,2,0,0,0,1,6,0,4,2,1,0,0,19,-1,0
/Users/victorfrancorezende/./Aardvark/aardvark/test/gw/vark/testapi/AardvarkTestCase.java,gw.vark.testapi.AardvarkTestCase,class,4,6,2,4,3,2,2,1,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0
/Users/victorfrancorezende/./Aardvark/vedit/src/gw/vark/editor/VEdit.java,gw.vark.editor.VEdit$Anonymous19,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/victorfrancorezende/./Aardvark/aardvark/test/gw/vark/testapi/StringMatchAssertion.java,gw.vark.testapi.StringMatchAssertion,class,3,8,5,3,3,3,4,0,3,0.0,0.0,0.0,3,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1025,0
