file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/bm/Rule.java,org.apache.commons.codec.language.bm.Rule,class,4,9,5,4,41,1,0,49,61,0.82000005,0.1969697,0.54545456,15,6,11,4,0,0,12,0,0,0,10,4,1,9,0,0,4,0,23,174,18,4,6,0,0,21,14,42,8,36,5,0,0,0,241,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,class,5,5,0,5,3,1,0,4,0,0.0,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,5,18,1,0,0,0,0,17,0,4,0,4,0,0,0,0,21,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,class,8,9,1,8,87,1,0,51,1540,0.98214287,0.0,0.0,56,0,52,4,0,0,52,0,0,0,1,0,0,1,0,0,1,0,555,839,2,7,12,10,2,642,688,152,31,111,2,0,0,0,317,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/EncoderException.java,org.apache.commons.codec.EncoderException,class,0,16,16,0,4,3,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,91,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/DoubleMetaphone.java,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,innerclass,2,2,0,2,18,1,0,11,0,0.5,0.54545456,0.6818182,12,0,12,0,0,0,12,0,0,0,3,0,0,3,0,0,3,0,0,61,3,0,0,0,0,0,2,5,2,5,1,0,0,0,27,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/StringEncoderComparator.java,org.apache.commons.codec.StringEncoderComparator,class,2,3,1,2,3,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,0,1,0,0,2,6,0,4,1,0,0,0,63,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,org.apache.commons.codec.language.bm.PhoneticEngine,class,6,10,4,6,66,1,0,49,71,0.81428564,0.35714287,0.75,14,2,7,7,0,0,8,0,0,0,5,1,0,5,0,0,5,0,19,306,22,13,9,0,3,80,29,80,27,52,5,0,1,0,191,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/StringEncoderComparatorTest.java,org.apache.commons.codec.StringEncoderComparatorTest,class,4,4,0,4,5,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,22,0,1,1,0,0,14,6,9,2,9,1,0,0,0,54,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/net/Utils.java,org.apache.commons.codec.net.Utils,class,1,4,3,1,2,1,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,1,0,0,2,2,1,1,1,1,0,0,0,35,0,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,innerclass,2,2,0,2,5,1,0,1,0,0.3,1.0,1.0,5,0,4,0,1,0,5,1,0,0,2,0,0,0,2,0,1,0,0,19,2,0,0,0,0,0,3,5,0,2,0,0,0,0,10,1026,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/SoundexUtils.java,org.apache.commons.codec.language.SoundexUtils,class,3,7,4,3,12,1,0,7,3,0.0,0.0,0.0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,35,6,2,6,0,0,0,7,8,0,7,2,0,0,0,99,16,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/MetaphoneTest.java,org.apache.commons.codec.language.MetaphoneTest,class,5,6,1,5,42,2,0,11,595,0.0,0.0,0.0,35,0,33,1,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,154,2,5,2,0,0,312,6,4,3,4,2,0,0,0,117,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/binary/Base64InputStreamTest.java,org.apache.commons.codec.binary.Base64InputStreamTest,class,8,9,1,8,30,1,0,21,71,0.7555556,0.22727273,0.22727273,15,0,12,3,0,0,12,0,0,0,3,3,0,3,0,0,3,0,30,203,0,8,0,5,0,40,74,94,4,57,1,0,0,0,164,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/binary/Base32InputStream.java,org.apache.commons.codec.binary.Base32InputStream,class,3,4,1,3,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/ColognePhonetic.java,org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,innerclass,2,2,0,2,3,2,0,1,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,1,2,0,1,0,0,0,0,12,2,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/binary/BaseNCodecOutputStream.java,org.apache.commons.codec.binary.BaseNCodecOutputStream,class,3,8,5,3,17,3,2,10,1,0.50000006,0.4,0.6,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,60,0,0,1,0,0,0,15,7,1,6,2,0,0,0,87,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/bm/ResourceConstants.java,org.apache.commons.codec.language.bm.ResourceConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,23,0,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/binary/Base64.java,org.apache.commons.codec.binary.Base64,class,4,11,7,4,76,2,0,19,278,0.91714287,0.036666665,0.06,25,16,21,0,1,3,25,0,0,0,14,8,0,13,0,1,13,0,21,240,24,3,20,0,33,5,194,68,37,30,5,0,0,0,404,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/Caverphone2Test.java,org.apache.commons.codec.language.Caverphone2Test,class,5,5,0,5,10,2,0,6,45,0.0,0.0,0.0,10,0,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,275,0,4,0,4,0,0,0,0,43,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/Caverphone1Test.java,org.apache.commons.codec.language.Caverphone1Test,class,5,5,0,5,6,2,0,5,15,0.0,0.0,0.0,6,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,34,0,4,0,4,0,0,0,0,43,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/Caverphone1.java,org.apache.commons.codec.language.Caverphone1,class,1,2,1,1,3,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,66,2,0,2,0,0,109,2,58,1,2,1,0,0,0,41,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/Caverphone2.java,org.apache.commons.codec.language.Caverphone2,class,1,2,1,1,3,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,69,2,0,2,0,0,115,2,61,1,2,1,0,0,0,41,1,0
