file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,class,8,9,1,8,9,4,0,27,3,0.5,0.6,0.6,6,1,5,1,0,0,5,0,0,0,2,0,0,2,0,0,0,0,10,82,3,0,0,3,0,18,2,21,3,21,1,0,1,0,150,1,1
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$WeakKey,innerclass,1,1,0,1,2,3,0,0,0,0.0,-1.0,-1.0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,26,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,class,4,5,1,4,12,2,0,26,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,3,0,15,0,6,3,6,1,0,0,0,52,1,10
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,class,10,13,3,10,26,3,2,75,117,0.8333333,0.07189543,0.13725491,18,3,9,0,9,0,18,0,0,0,7,1,0,0,7,0,1,0,5,180,3,3,1,2,0,49,16,34,4,26,2,0,0,0,173,1,10
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,class,3,9,6,3,80,1,1,32,307,0.9083333,0.013333334,0.013333334,30,5,21,6,3,0,25,0,18,0,20,17,8,2,10,0,12,0,18,288,13,1,9,6,1,36,14,45,11,34,3,1,0,0,274,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/log4j/log4j12/ChildClasspathStandardTestCase.java,org.apache.commons.logging.log4j.log4j12.ChildClasspathStandardTestCase,class,4,4,0,4,1,2,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,5,0,3,0,3,0,0,0,0,36,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BadHashtablePropertyTestCase.java,org.apache.commons.logging.BadHashtablePropertyTestCase,class,3,4,1,3,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/MockSecurityManager.java,org.apache.commons.logging.security.MockSecurityManager,class,0,2,2,0,21,2,0,13,0,0.41666666,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,2,0,0,61,6,1,0,0,0,32,1,7,6,8,3,0,0,0,95,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/tccl/custom/MyLogFactoryImpl.java,org.apache.commons.logging.tccl.custom.MyLogFactoryImpl,class,2,2,0,2,7,2,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigFullTestCase.java,org.apache.commons.logging.jdk14.CustomConfigFullTestCase,class,5,6,1,5,2,4,0,7,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,0,3,0,4,0,4,0,0,0,0,31,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/avalon/AvalonLoggerTestCase.java,org.apache.commons.logging.avalon.AvalonLoggerTestCase,class,7,8,1,7,2,3,0,1,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/impl/WeakHashtableTestCase.java,org.apache.commons.logging.impl.WeakHashtableTestCase$StupidThread,innerclass,1,1,0,1,4,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,1,0,0,2,4,1,3,1,2,0,0,0,14,9,0
