file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/victorfrancorezende/./logging/src/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$WeakKey,innerclass,1,1,0,1,2,3,0,0,0,0.0,-1.0,-1.0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,25,26,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,class,4,5,1,4,12,2,0,26,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,3,0,15,0,6,3,6,1,0,0,0,52,1,10
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,class,6,9,3,6,20,3,2,55,84,0.7916667,0.09166667,0.175,16,1,9,0,7,0,16,0,0,0,6,0,0,0,6,0,0,0,2,129,1,2,1,0,0,41,7,20,0,12,2,0,0,0,119,1,10
/Users/victorfrancorezende/./logging/src/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,class,3,9,6,3,79,1,1,31,278,0.9001814,0.013333334,0.013333334,29,5,21,5,3,0,25,0,18,0,19,16,8,1,10,0,11,0,18,283,13,1,10,5,6,36,13,47,11,30,4,1,0,0,252,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/log4j/log4j12/ChildClasspathStandardTestCase.java,org.apache.commons.logging.log4j.log4j12.ChildClasspathStandardTestCase,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,5,0,3,0,3,0,0,0,0,36,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/BadHashtablePropertyTestCase.java,org.apache.commons.logging.BadHashtablePropertyTestCase,class,4,5,1,4,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/tccl/custom/MyLogFactoryImpl.java,org.apache.commons.logging.tccl.custom.MyLogFactoryImpl,class,2,2,0,2,7,2,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/jdk14/CustomConfigFullTestCase.java,org.apache.commons.logging.jdk14.CustomConfigFullTestCase,class,5,6,1,5,2,4,0,4,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,4,0,3,0,3,0,0,0,0,28,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/avalon/AvalonLoggerTestCase.java,org.apache.commons.logging.avalon.AvalonLoggerTestCase,class,7,8,1,7,3,3,0,3,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,3,0,3,0,0,0,0,19,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/simple/CustomConfigTestCase.java,org.apache.commons.logging.simple.CustomConfigTestCase,class,10,12,2,10,15,3,1,52,71,0.82142854,0.10989011,0.10989011,14,1,7,0,7,0,14,0,0,0,2,0,0,0,2,0,0,0,3,108,1,1,0,0,9,46,1,12,3,11,1,0,0,0,146,1,10
/Users/victorfrancorezende/./logging/src/java/org/apache/commons/logging/LogSource.java,org.apache.commons.logging.LogSource,class,3,4,1,3,26,1,0,14,13,0.82142854,0.1904762,0.1904762,7,6,6,1,0,0,7,0,0,0,4,4,0,0,4,0,0,0,14,120,4,0,7,9,5,12,6,29,0,11,3,0,0,0,154,1,0
/Users/victorfrancorezende/./logging/src/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$Anonymous1,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,8,-1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/pathable/GeneralTestCase.java,org.apache.commons.logging.pathable.GeneralTestCase,class,5,6,1,5,7,2,0,18,21,0.0,0.0,0.0,7,3,5,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,36,1,0,0,0,0,9,1,8,0,7,0,0,0,0,97,1,0
/Users/victorfrancorezende/./logging/src/test/org/apache/commons/logging/AbstractLogTest.java,org.apache.commons.logging.AbstractLogTest,class,3,9,6,3,2,2,5,16,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,12,0,1,12,1,0,0,0,0,41,1025,20
/Users/victorfrancorezende/./logging/src/java/org/apache/commons/logging/impl/AvalonLogger.java,org.apache.commons.logging.impl.AvalonLogger,class,3,5,2,3,35,1,0,13,219,0.8636364,0.025974026,0.025974026,22,1,22,0,0,0,22,0,0,0,2,1,0,2,0,0,0,0,12,71,7,0,1,0,0,1,0,5,0,2,1,0,0,0,149,1,10
