file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/TestOutputHandler.java,gw.vark.it.TestOutputHandler,TestOutputHandler/1[java.lang.String],true,17,0,10,10,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/TestOutputHandler.java,gw.vark.it.TestOutputHandler,handleLine/1[java.lang.String],false,21,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-idea/src/main/java/gw/vark/idea/VarkProgramFileProvider.java,gw.vark.idea.VarkProgramFileProvider$Anonymous3,createParserOptions/0,false,64,2,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/AssemblyStructureITCase.java,gw.vark.it.AssemblyStructureITCase,licenseExists/0,false,11,2,1,0,1,1,4,6,0,2,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,1,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,"AardvarkProgram/3[gw.vark.Project,java.io.File,gw.vark.IGosuProgram]",true,103,2,1,1,0,1,1,5,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getDefaultTypeUsesPackages/0,false,93,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,9,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,maybeEvaluate/0,false,109,0,1,1,0,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],false,176,8,3,1,2,12,27,47,1,15,1,27,1,2,4,2,0,1,15,2,22,7,5,0,0,0,46,9,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,"addTargets/2[gw.vark.Project,java.util.Map<java.lang.String,gw.vark.TargetCall>]",false,232,8,7,1,6,8,20,34,0,8,2,20,3,2,3,2,0,0,1,0,9,0,4,0,0,0,33,2,0,false
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,stripParens/1[java.lang.String],false,276,0,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,10,0,false
