file,class,method,variable,usage
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/TestOutputHandler.java,gw.vark.it.TestOutputHandler,TestOutputHandler/1[java.lang.String],name,1
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/TestOutputHandler.java,gw.vark.it.TestOutputHandler,handleLine/1[java.lang.String],line,2
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/AssemblyStructureITCase.java,gw.vark.it.AssemblyStructureITCase,licenseExists/0,assemblyDir,1
/Users/victorfrancorezende/./Aardvark/aardvark/src/main/test/gw/vark/it/AssemblyStructureITCase.java,gw.vark.it.AssemblyStructureITCase,licenseExists/0,licenseFile,2
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,"AardvarkProgram/3[gw.vark.Project,java.io.File,gw.vark.IGosuProgram]",baseDir,1
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,"AardvarkProgram/3[gw.vark.Project,java.io.File,gw.vark.IGosuProgram]",gosuProgram,1
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,"AardvarkProgram/3[gw.vark.Project,java.io.File,gw.vark.IGosuProgram]",project,1
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],nameDocPairs,2
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],defaultValue,2
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],start,1
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],description,5
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],i,4
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],methodInfo,9
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],command,4
/Users/victorfrancorezende/./Aardvark/aardvark-core/src/main/java/gw/vark/AardvarkProgram.java,gw.vark.AardvarkProgram,getHelp/1[gw.vark.IType],gosuProgram,3
