file,class,method,variable,usage
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/BetaUtils.java,org.andengine.util.BetaUtils$Anonymous2,"onClick/2[org.andengine.util.DialogInterface,int]",pDialog,0
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/BetaUtils.java,org.andengine.util.BetaUtils$Anonymous2,"onClick/2[org.andengine.util.DialogInterface,int]",pWhich,0
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/BetaUtils.java,org.andengine.util.BetaUtils$Anonymous1,"onClick/2[org.andengine.util.DialogInterface,int]",pDialog,0
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/BetaUtils.java,org.andengine.util.BetaUtils$Anonymous1,"onClick/2[org.andengine.util.DialogInterface,int]",pWhich,0
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/modifier/ease/EaseQuintInOut.java,org.andengine.util.modifier.ease.EaseQuintInOut,"getPercentage/2[float,float]",pSecondsElapsed,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/modifier/ease/EaseQuintInOut.java,org.andengine.util.modifier.ease.EaseQuintInOut,"getPercentage/2[float,float]",percentage,3
/Users/victorfrancorezende/./AndEngine/src/org/andengine/util/modifier/ease/EaseQuintInOut.java,org.andengine.util.modifier.ease.EaseQuintInOut,"getPercentage/2[float,float]",pDuration,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/TagEntityMatcher.java,org.andengine.entity.TagEntityMatcher,TagEntityMatcher/1[int],pTag,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/TagEntityMatcher.java,org.andengine.entity.TagEntityMatcher,setTag/1[int],pTag,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/TagEntityMatcher.java,org.andengine.entity.TagEntityMatcher,matches/1[org.andengine.entity.IEntity],pEntity,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,setBlendFunctionSource/1[int],pBlendFunctionSource,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,setBlendFunctionDestination/1[int],pBlendFunctionDestination,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pParticleEmitter,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pEntityFactory,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pX,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pRateMaximum,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pY,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pRateMinimum,1
/Users/victorfrancorezende/./AndEngine/src/org/andengine/entity/particle/BlendFunctionParticleSystem.java,org.andengine.entity.particle.BlendFunctionParticleSystem,"BlendFunctionParticleSystem/7[float,float,org.andengine.entity.particle.IEntityFactory<T>,org.andengine.entity.particle.IParticleEmitter,float,float,int]",pParticlesMaximum,1
