file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",false,379,3,3,1,2,3,3,15,0,5,3,3,0,0,2,0,0,0,0,5,8,1,2,0,0,0,23,0,0,false
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",true,366,1,2,2,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,false
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,chainingValue/0,false,374,2,4,3,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,false,31,1,3,2,1,3,0,12,1,6,0,0,0,0,2,0,0,0,13,2,8,0,2,0,0,0,6,2,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToSelfIsZero/0,false,63,3,2,0,2,3,4,7,0,0,0,4,1,1,2,0,0,0,1,1,0,1,2,0,0,0,18,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToLaterIsNegative/0,false,49,3,2,0,2,4,6,10,0,3,0,6,1,1,3,0,0,0,3,3,3,2,3,0,0,0,18,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,false,73,2,3,0,3,1,5,56,0,9,0,5,0,0,0,0,0,0,29,68,9,0,0,0,0,0,12,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger2/0,false,208,2,2,0,2,1,4,6,0,2,0,4,0,0,0,0,0,0,3,0,2,1,0,0,0,0,20,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testPairs/0,false,581,3,2,0,2,2,4,7,0,2,0,4,0,0,1,0,0,0,1,4,2,0,1,0,0,0,6,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testSingletonsChunked/0,false,870,3,1,0,1,1,2,107,0,0,0,2,0,0,0,0,0,0,105,105,0,0,0,0,0,0,5,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testObjectDecodeWithValidParameter/0,false,541,4,3,0,3,1,4,9,0,6,0,4,0,0,0,0,0,0,2,0,6,0,0,0,0,0,31,1,0,false
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodec265/0,false,1383,4,2,0,2,2,5,11,0,7,0,5,0,0,0,0,0,0,1,7,7,7,0,0,0,0,32,1,0,true
