file,class,method,variable,usage
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",offset,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",wordCounter,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",wordLength,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",length,3
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",words,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",outputBlockCounter,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",chunkLength,4
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"rootOutputBytes/3[byte[],int,int]",out,1
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",blockWords,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",inputChainingValue,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",blockLength,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",flags,2
/Users/victorfrancorezende/./commons-codec/src/main/java/org/apache/commons/codec/digest/Blake3.java,org.apache.commons.codec.digest.Blake3$Output,"Output/5[int[],int[],long,int,int]",counter,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,phonemes_i,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,words_i,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,words,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,i,4
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,j,4
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,makePhonemes/0,phonemes,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToSelfIsZero/0,ph,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToSelfIsZero/0,phs,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToLaterIsNegative/0,c,1
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToLaterIsNegative/0,i,5
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToLaterIsNegative/0,phs,6
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testPhonemeComparedToLaterIsNegative/0,j,4
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,a,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,cd,4
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,ef,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,b,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,a_b_cd,14
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,a_b,5
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,ghi,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,jkl,3
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/language/bm/RuleTest.java,org.apache.commons.codec.language.bm.RuleTest,testSubSequenceWorks/0,cd_ef,14
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger2/0,encodedInt2,2
/Users/victorfrancorezende/./commons-codec/src/test/java/org/apache/commons/codec/binary/Base64Test.java,org.apache.commons.codec.binary.Base64Test,testCodeInteger2/0,bigInt2,2
