file,class,method,variable,usage
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,oldSecMgr,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,setUp/0,oldSecMgr,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,setUp/0,otherClassLoader,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testContextClassLoader/0,oldSecMgr,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testContextClassLoader/0,otherClassLoader,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,tearDown/0,oldSecMgr,1
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$WeakKey,getReferenced/0,referenced,1
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$WeakKey,"WeakKey/3[java.lang.Object,java.lang.ref.ReferenceQueue,org.apache.commons.logging.impl.WeakHashtable.Referenced]",referenced,3
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,checkLogRecords/1[boolean],handler,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,checkLogRecords/1[boolean],testLevels,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,checkLogRecords/1[boolean],testMessages,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,suite/0,HANDLER_NAME,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,setUpLogger/1[java.lang.String],logger,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,setUpManager/1[java.lang.String],manager,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,setUpHandlers/0,handler,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,setUpHandlers/0,handlers,5
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,setUpHandlers/0,logger,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,testPristineLogger/0,logger,9
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,tearDown/0,manager,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,tearDown/0,handlers,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,tearDown/0,logger,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,testPristineHandlers/0,handler,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/jdk14/CustomConfigTestCase.java,org.apache.commons.logging.jdk14.CustomConfigTestCase,testPristineHandlers/0,handlers,2
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,SimpleLog/1[java.lang.String],logName,2
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,SimpleLog/1[java.lang.String],systemPrefix,3
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,getStringProperty/1[java.lang.String],simpleLogProps,1
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,setLevel/1[int],currentLogLevel,4
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,getLevel/0,currentLogLevel,1
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,"log/3[int,java.lang.Object,java.lang.Throwable]",shortLogName,3
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,"log/3[int,java.lang.Object,java.lang.Throwable]",logName,3
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,"log/3[int,java.lang.Object,java.lang.Throwable]",showShortName,1
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/SimpleLog.java,org.apache.commons.logging.impl.SimpleLog,"log/3[int,java.lang.Object,java.lang.Throwable]",dateFormatter,2
