file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,false,102,3,3,0,3,2,21,26,0,9,0,21,0,0,0,0,1,0,7,1,9,1,1,0,0,0,64,1,1,true
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,setUp/0,false,79,1,2,0,2,1,2,7,0,1,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,11,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testContextClassLoader/0,false,151,3,3,0,3,2,10,17,0,3,0,10,1,1,0,0,1,0,3,1,3,1,1,0,0,0,52,1,0,true
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,suite/0,false,67,3,4,0,4,1,4,8,1,2,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,15,9,0,true
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,tearDown/0,false,91,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,"loadClass/2[java.lang.String,java.lang.ClassLoader]",false,182,0,1,1,0,2,6,14,2,4,2,6,0,0,0,0,1,0,2,0,4,1,1,0,0,0,22,2,0,true
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$WeakKey,getReferenced/0,false,496,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/victorfrancorezende/./commons-logging/src/main/java/org/apache/commons/logging/impl/WeakHashtable.java,org.apache.commons.logging.impl.WeakHashtable$WeakKey,"WeakKey/3[java.lang.Object,java.lang.ref.ReferenceQueue,org.apache.commons.logging.impl.WeakHashtable.Referenced]",true,491,1,1,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,testMessageWithExceptionNamedLog/0,false,97,3,2,0,2,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,testMessageWithExceptionClassLog/0,false,91,3,2,0,2,1,2,4,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,executeMessageWithExceptionTest/1[org.apache.commons.logging.Log],false,103,1,8,2,6,2,8,14,0,0,1,8,0,0,0,0,1,0,7,0,0,1,1,0,0,0,11,1,5,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,testMessageWithoutExceptionClassLog/0,false,61,3,2,0,2,1,2,4,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,testIsEnabledClassLog/0,false,31,3,2,0,2,1,2,4,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,testMessageWithoutExceptionNamedLog/0,false,67,3,2,0,2,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/BasicOperationsTestCase.java,org.apache.commons.logging.BasicOperationsTestCase,executeMessageWithoutExceptionTest/1[org.apache.commons.logging.Log],false,73,1,8,2,6,2,8,14,0,0,1,8,0,0,0,0,1,0,7,0,0,1,1,0,0,0,10,1,5,false
