file,class,method,variable,usage
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,c,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,ftClassName,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,t,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,sw,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,log,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,factoryField,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,pw,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,m,1
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,factoryTable,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testAllForbidden/0,mySecurityManager,2
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,setUp/0,classLoader,3
/Users/victorfrancorezende/./commons-logging/src/test/java/org/apache/commons/logging/security/SecurityForbiddenTestCase.java,org.apache.commons.logging.security.SecurityForbiddenTestCase,testContextClassLoader/0,t,2
